Author,Title,Year,Category,Url,Citations
"Schreiber, Benjamin J. and Dougherty, John P.",Assessment of Introducing Algorithms with Video Lectures and Pseudocode Rhymed to a Melody,2017,Teaching: video,http://doi.acm.org/10.1145/3017680.3017789,1
"Battestilli, Lina and Awasthi, Apeksha and Cao, Yingjun",Two-Stage Programming Projects: Individual Work Followed by Peer Collaboration,2018,CA: other,http://doi.acm.org/10.1145/3159450.3159486,0
"Celepkolu, Mehmet and Boyer, Kristy Elizabeth",Thematic Analysis of Students' Reflections on Pair Programming in CS1,2018,CA: pair programming,http://doi.acm.org/10.1145/3159450.3159516,0
"Aarne, Onni and Peltola, Petrus and Leinonen, Juho and Hellas, Arto",A Study of Pair Programming Enjoyment and Attendance Using Study Motivation and Strategy Metrics,2018,CA: pair programming,http://doi.acm.org/10.1145/3159450.3159493,0
"Celepkolu, Mehmet and Boyer, Kristy Elizabeth",The Importance of Producing Shared Code Through Pair Programming,2018,CA: pair programming,http://doi.acm.org/10.1145/3159450.3159506,0
"Crawford, Chris S. and Gardner-McCune, Christina and Gilbert, Juan E.",Brain-Computer Interface for Novice Programmers,2018,Content: other: CS+X,http://doi.acm.org/10.1145/3159450.3159603,0
"Berger-Wolf, Tanya and Igic, Boris and Taylor, Cynthia and Sloan, Robert and Poretsky, Rachel","A Biology-themed Introductory CS Course at a Large, Diverse Public University",2018,Content: other: CS+X,http://doi.acm.org/10.1145/3159450.3159538,0
"Dahlby Albright, Sarah and Klinge, Titus H. and Rebelsky, Samuel A.",A Functional Approach to Data Science in CS1,2018,Content: other: data science approach,http://doi.acm.org/10.1145/3159450.3159550,0
"Ilves, Kalle and Leinonen, Juho and Hellas, Arto",Supporting Self-Regulated Learning with Visualizations in Online Learning Environments,2018,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/3159450.3159509,0
"Wood, Zo\""{e} J. and Clements, John and Peterson, Zachary and Janzen, David and Smith, Hugh and Haungs, Michael and Workman, Julie and Bellardo, John and DeBruhl, Bruce",Mixed Approaches to CS0: Exploring Topic and Pedagogy Variance After Six Years of CS0,2018,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/3159450.3159592,0
"Xu, Dianna and Wolz, Ursula and Kumar, Deepak and Greenburg, Ira",Updating Introductory Computer Science with Creative Computation,2018,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/3159450.3159539,0
"Harrington, Brian and Cheng, Nick",Tracing vs. Writing Code: Beyond the Learning Hierarchy,2018,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/3159450.3159530,0
"Alhazmi, Sohail and Hamilton, Margaret and Thevathayan, Charles",CS for All: Catering to Diversity of Master's Students Through Assignment Choices,2018,DSA: other,http://doi.acm.org/10.1145/3159450.3159464,0
"Simon and Mason, Raina and Crick, Tom and Davenport, James H. and Murphy, Ellen",Language Choice in Introductory Programming Courses at Australasian and UK Universities,2018,FLP: general,http://doi.acm.org/10.1145/3159450.3159547,0
"Alzahrani, Nabeel and Vahid, Frank and Edgcomb, Alex and Nguyen, Kevin and Lysecky, Roman",Python Versus C++: An Analysis of Student Struggle on Small Coding Exercises in Introductory Programming Courses,2018,FLP: specific text-based languages,http://doi.acm.org/10.1145/3159450.3160586,0
"Ball, Robert and DuHadway, Linda and Hilton, Spencer and Rague, Brian",GUI-Based vs. Text-Based Assignments in CS1,2018,LA: assessment: general,http://doi.acm.org/10.1145/3159450.3159463,0
"Zavala, Laura and Mendoza, Benito",On the Use of Semantic-Based AIG to Automatically Generate Programming Exercises,2018,LA: assessment: other: auto and student generated assignments,http://doi.acm.org/10.1145/3159450.3159608,0
"Becker, Brett A. and Goslin, Kyle and Glanville, Graham",The Effects of Enhanced Compiler Error Messages on a Syntax Error Debugging Test,2018,LA: learning: errors,http://doi.acm.org/10.1145/3159450.3159461,0
"Becker, Brett A. and Murray, Cormac and Tao, Tianyi and Song, Changheng and McCartney, Robert and Sanders, Kate","Fix the First, Ignore the Rest: Dealing with Multiple Compiler Error Messages",2018,LA: learning: errors,http://doi.acm.org/10.1145/3159450.3159453,1
"Zingaro, Daniel and Craig, Michelle and Porter, Leo and Becker, Brett A. and Cao, Yingjun and Conrad, Phill and Cukierman, Diana and Hellas, Arto and Loksa, Dastyni and Thota, Neena",Achievement Goals in CS1: Replication and Extension,2018,LA: learning: learning styles,http://doi.acm.org/10.1145/3159450.3159452,0
"Xie, Benjamin and Nelson, Greg L. and Ko, Andrew J.",An Explicit Strategy to Scaffold Novice Program Tracing,2018,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/3159450.3159527,0
"Dawson, Jessica Q. and Allen, Meghan and Campbell, Alice and Valair, Anasazi",Designing an Introductory Programming Course to Improve Non-Majors' Experiences,2018,Students: non-majors,http://doi.acm.org/10.1145/3159450.3159548,0
"Munson, Jonathan P. and Zitovsky, Joshua P.",Models for Early Identification of Struggling Novice Programmers,2018,Students: other: (attitudes self-efficacy at-risk),http://doi.acm.org/10.1145/3159450.3159476,0
"Latulipe, Celine and Rorrer, Audrey and Long, Bruce",Longitudinal Data on Flipped Class Effects on Performance in CS1 and Retention After CS1,2018,Students: predicting and measuring success,http://doi.acm.org/10.1145/3159450.3159518,0
"Wilcox, Chris and Lionelle, Albert",Quantifying the Benefits of Prior Programming Experience in an Introductory Computer Science Course,2018,Students: prior knowledge,http://doi.acm.org/10.1145/3159450.3159480,0
"Lacher, Lisa L. and Jiang, Albert and Zhang, Yu and Lewis, Mark C.",Including Coding Questions in Video Quizzes for a Flipped CS1,2018,Teaching: flipped approaches,http://doi.acm.org/10.1145/3159450.3159504,0
"Garcia, Saturnino",Improving Classroom Preparedness Using Guided Practice,2018,Teaching: other,http://doi.acm.org/10.1145/3159450.3159571,0
"Caceffo, Ricardo and Gama, Guilherme and Azevedo, Rodolfo",Exploring Active Learning Approaches to Computer Science Classes,2018,Teaching: other,http://doi.acm.org/10.1145/3159450.3159585,0
"Izu, Cruz and Mirolo, Claudio and Weerasinghe, Amali",Novice Programmers' Reasoning About Reversing Conditional Statements,2018,Teaching: specific topics (arrays recursion etc),http://doi.acm.org/10.1145/3159450.3159499,0
"Esteero, Ramy and Khan, Mohammed and Mohamed, Mohamed and Zhang, Larry Yueli and Zingaro, Daniel",Recursion or Iteration: Does It Matter What Students Choose?,2018,Teaching: specific topics (arrays recursion etc),http://doi.acm.org/10.1145/3159450.3159455,0
"Kumar, Amruth N.",Epplets: A Tool for Solving Parsons Puzzles,2018,Tools: other,http://doi.acm.org/10.1145/3159450.3159576,0
"Ishizue, Ryosuke and Sakamoto, Kazunori and Washizaki, Hironori and Fukazawa, Yoshiaki",PVC: Visualizing C Programs on Web Browsers for Novices,2018,Tools: visualization,http://doi.acm.org/10.1145/3159450.3159566,0
